what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298440098506
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440102957
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440156222
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1298440157490
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440160097
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440239406
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440255266
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440283699
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1298440297146
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1298440299441
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298440339463
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298440341995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440346456
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440412099
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298440413964
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298440416859
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298440420336
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440425583
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1298440439776
activated,editor,net.sourceforge.texlipse,1.4.0,"net.sourceforge.texlipse.TexEditor",1298440442311
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1298440445626
